frame,cap_ms,pnp_ms,upload_ms,swap_ms,found,t_x,t_y,t_z,r_x,r_y,r_z,reproj_mean,reproj_median,reproj_max
143,5432.501,5432.501,5457.571,5459.128,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
144,5463.296,5463.296,5487.960,5489.562,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
145,5495.649,5495.649,5520.127,5522.774,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
146,5531.807,5531.807,5558.495,5560.181,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
147,5568.111,5568.111,5592.964,5594.628,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
148,5599.017,5599.017,5622.712,5624.191,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
149,5632.491,5632.491,5658.608,5660.263,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
150,5664.826,5664.826,5689.573,5691.051,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
151,5697.011,5697.011,5721.846,5723.289,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
152,5733.212,5733.212,5759.370,5761.030,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
153,5766.690,5766.690,5793.021,5794.615,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
154,5800.403,5800.403,5823.900,5825.542,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
155,5832.067,5832.067,5857.146,5858.767,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
156,5864.823,5864.823,5889.392,5890.847,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
157,5898.599,5898.599,5922.378,5923.890,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
158,5934.819,5934.819,5959.877,5961.464,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
159,5969.272,5969.272,5994.459,5996.140,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
160,6000.353,6000.353,6027.671,6029.396,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
161,6032.328,6032.328,6056.947,6058.517,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
162,6068.357,6068.357,6092.402,6093.978,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
163,6098.286,6098.286,6123.554,6125.174,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
164,6132.671,6132.671,6160.472,6162.079,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
165,6166.351,6166.351,6191.861,6193.462,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
166,6195.991,6195.991,6221.949,6223.501,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
167,6231.392,6231.392,6257.163,6258.756,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
168,6265.077,6265.077,6288.800,6290.323,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
169,6297.724,6297.724,6323.864,6325.494,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
170,6331.643,6331.643,6354.922,6356.387,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
171,6367.060,6367.060,6392.707,6394.382,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
172,6429.612,6429.612,6456.199,6457.722,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
173,6460.144,6460.144,6628.643,6630.394,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
174,6653.323,6653.323,6679.955,6681.630,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
175,6689.154,6712.409,6714.578,6716.889,1,-0.139,-0.038,0.841,-0.792,0.513,1.082,2.459,1.872,10.884
176,6721.782,6721.782,6749.636,6751.309,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
177,6763.001,6927.332,6930.043,6931.964,1,-0.119,-0.061,0.842,-0.760,0.515,1.130,5.153,3.307,16.335
178,6964.455,6964.455,6990.198,6991.853,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
179,7000.730,7024.354,7026.674,7028.342,1,-0.028,-0.102,0.825,-0.697,0.567,1.292,1.060,1.049,2.297
180,7034.132,7048.253,7050.555,7055.059,1,-0.024,-0.097,0.825,-0.699,0.574,1.296,0.717,0.612,3.226
181,7064.869,7078.062,7080.356,7082.072,1,-0.019,-0.091,0.828,-0.704,0.579,1.306,0.636,0.596,1.502
182,7098.141,7110.670,7112.975,7114.629,1,-0.014,-0.092,0.828,-0.700,0.580,1.317,0.559,0.508,1.688
183,7131.332,7141.754,7144.016,7145.724,1,-0.012,-0.095,0.828,-0.693,0.581,1.323,0.537,0.505,1.528
184,7165.408,7175.587,7177.894,7179.565,1,-0.010,-0.095,0.830,-0.690,0.581,1.328,0.556,0.534,1.590
185,7202.317,7216.277,7218.556,7222.028,1,-0.006,-0.093,0.833,-0.687,0.585,1.336,0.623,0.599,1.757
186,7231.731,7245.129,7247.379,7249.132,1,0.002,-0.093,0.834,-0.685,0.589,1.351,0.764,0.746,1.729
187,7263.713,7277.105,7279.454,7281.131,1,0.011,-0.096,0.835,-0.677,0.591,1.367,0.676,0.593,1.931
188,7295.999,7308.630,7311.024,7312.667,1,0.017,-0.095,0.836,-0.672,0.599,1.377,0.592,0.552,1.581
189,7330.172,7342.070,7344.370,7346.073,1,0.021,-0.091,0.837,-0.675,0.606,1.384,0.559,0.543,1.560
190,7364.265,7375.977,7378.209,7379.830,1,0.026,-0.089,0.838,-0.676,0.611,1.392,0.561,0.544,1.584
191,7397.259,7410.249,7412.622,7414.260,1,0.030,-0.088,0.839,-0.675,0.615,1.401,0.553,0.478,1.537
192,7430.608,7441.420,7443.727,7445.414,1,0.032,-0.090,0.838,-0.673,0.616,1.407,0.528,0.480,1.475
193,7463.834,7474.746,7477.092,7478.654,1,0.030,-0.090,0.838,-0.673,0.618,1.407,0.536,0.518,1.506
194,7497.802,7507.819,7510.224,7511.830,1,0.029,-0.091,0.839,-0.672,0.617,1.409,0.533,0.486,1.559
195,7545.481,7560.322,7563.533,7565.560,1,0.031,-0.090,0.840,-0.669,0.622,1.414,0.547,0.504,1.554
196,7599.779,7615.837,7618.506,7622.057,1,0.028,-0.083,0.840,-0.674,0.630,1.415,0.603,0.527,1.922
197,7631.308,7643.642,7646.150,7647.831,1,0.027,-0.077,0.842,-0.678,0.635,1.415,0.564,0.492,1.543
198,7665.195,7674.923,7677.304,7678.957,1,0.027,-0.072,0.843,-0.682,0.638,1.418,0.539,0.465,1.595
199,7697.619,7708.001,7710.521,7712.190,1,0.026,-0.071,0.843,-0.682,0.639,1.421,0.523,0.477,1.517
200,7730.943,7743.211,7745.671,7747.366,1,0.029,-0.070,0.844,-0.680,0.642,1.428,0.544,0.487,1.535
201,7764.398,7774.202,7776.562,7778.209,1,0.032,-0.070,0.843,-0.678,0.646,1.437,0.537,0.491,1.500
202,7800.180,7811.273,7813.685,7815.309,1,0.032,-0.070,0.843,-0.678,0.647,1.440,0.532,0.458,1.500
203,7831.802,7844.443,7846.868,7848.561,1,0.029,-0.071,0.842,-0.677,0.646,1.440,0.525,0.489,1.453
204,7862.632,7876.479,7878.820,7880.534,1,0.024,-0.070,0.841,-0.679,0.648,1.435,0.615,0.566,1.664
205,7897.617,7909.811,7912.123,7913.757,1,0.020,-0.068,0.842,-0.681,0.645,1.435,0.540,0.483,1.482
206,7930.778,7943.323,7945.766,7947.419,1,0.019,-0.073,0.841,-0.676,0.641,1.440,0.548,0.457,1.523
207,7963.045,7977.033,7979.431,7981.033,1,0.015,-0.074,0.839,-0.674,0.643,1.438,0.610,0.500,1.388
208,7999.114,8013.882,8016.418,8018.080,1,0.010,-0.070,0.839,-0.677,0.646,1.435,0.578,0.544,1.698
209,8032.093,8044.178,8046.538,8048.205,1,0.006,-0.068,0.838,-0.678,0.645,1.436,0.527,0.499,1.551
210,8066.500,8077.399,8079.833,8081.514,1,0.003,-0.068,0.837,-0.676,0.645,1.439,0.532,0.480,1.562
211,8096.688,8109.380,8111.928,8113.552,1,0.001,-0.066,0.835,-0.674,0.650,1.443,0.542,0.499,1.555
212,8130.629,8143.426,8145.792,8147.481,1,-0.001,-0.062,0.834,-0.674,0.654,1.450,0.554,0.512,1.654
213,8164.919,8176.366,8178.711,8180.321,1,-0.001,-0.062,0.832,-0.671,0.656,1.460,0.529,0.481,1.578
214,8199.454,8213.283,8215.660,8217.305,1,-0.001,-0.058,0.831,-0.667,0.664,1.470,0.543,0.502,1.742
215,8230.692,8241.408,8243.752,8245.435,1,-0.000,-0.055,0.829,-0.666,0.670,1.486,0.545,0.489,1.476
216,8266.262,8279.754,8282.167,8283.828,1,0.003,-0.055,0.828,-0.659,0.675,1.505,0.541,0.537,1.469
